ref,station_distance,pub_date,studio,n_rooms,area,floor,mcc,circle,center_distance,y
/moskva/kvartiry/1-k_kvartira_106_m_55_et._1954365064,16,2020-08-05,0,1,106,5,0,0,11.857816451516747,0.22641509433962265
/moskva/kvartiry/1-k_kvartira_11_m_57_et._1968262833,8,2020-08-07,0,1,11,5,0,0,11.31836121415036,2.1818181818181817
/moskva/kvartiry/1-k_kvartira_12.3_m_47_et._1968083930,8,2020-08-07,0,1,12,4,0,0,11.31836121415036,2.0833333333333335
/moskva/kvartiry/1-k_kvartira_12_m_12_et._1883003327,13,2020-08-03,0,1,12,1,0,0,15.523108364057276,1.6583333333333332
/moskva/kvartiry/1-k_kvartira_12_m_13_et._1965549553,5,2020-08-05,0,1,12,1,0,0,22.579784132396757,1.9166666666666667
/moskva/kvartiry/1-k_kvartira_12_m_19_et._1971554419,9,2020-08-11,0,1,12,1,0,0,12.647554108980627,2.5
/moskva/kvartiry/1-k_kvartira_12_m_57_et._1968241824,8,2020-08-07,0,1,12,5,0,0,11.31836121415036,2.0833333333333335
/moskva/kvartiry/1-k_kvartira_13_m_13_et._1965388336,5,2020-08-08,0,1,13,1,0,0,22.579784132396757,1.7692307692307692
/moskva/kvartiry/1-k_kvartira_14_m_55_et._1920383778,12,2020-08-07,0,1,14,5,1,0,8.167439322613241,1.4285714285714286
/moskva/kvartiry/1-k_kvartira_15_m_15_et._1969863032,7,2020-08-09,0,1,15,1,0,0,5.451087355930696,2.2
/moskva/kvartiry/1-k_kvartira_15_m_25_et._1247908474,12,2020-08-04,0,1,15,2,1,0,8.167439322613241,1.5333333333333334
/moskva/kvartiry/1-k_kvartira_15_m_45_et._517577186,12,2020-08-13,0,1,15,4,1,0,8.167439322613241,1.8666666666666667
/moskva/kvartiry/1-k_kvartira_15_m_55_et._1803537856,20,2020-08-08,0,1,15,5,0,0,8.854535352572697,2.066666666666667
/moskva/kvartiry/1-k_kvartira_16_m_25_et._1952301505,4,2020-08-11,0,1,16,2,0,0,12.833674364295671,1.5625
/moskva/kvartiry/1-k_kvartira_16_m_55_et._1958838476,12,2020-08-14,0,1,16,5,1,0,8.167439322613241,1.5625
/moskva/kvartiry/1-k_kvartira_17_m_25_et._1959830587,3,2020-08-06,0,1,17,2,0,0,15.19765150338257,1.2941176470588236
/moskva/kvartiry/1-k_kvartira_17_m_816_et._1964537685,3,2020-08-11,0,1,17,8,0,0,37.47716297083325,1.7588235294117647
/moskva/kvartiry/1-k_kvartira_17_m_99_et._1969860106,3,2020-08-14,0,1,17,9,0,0,15.656473583949358,1.8823529411764706
/moskva/kvartiry/1-k_kvartira_18.4_m_55_et._1862103196,5,2020-08-13,0,1,18,5,1,0,10.291944721850491,2.3
